Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint,LCSC Part
C1,23.5,33,Top,90,20pF,402,C1554
C2,31,33,Top,90,20pF,402,C1554
C3,17.25,2.25,Top,0,4.7uF,402,C23733
C4,19.5,7.75,Top,0,4.7uF,402,C23733
C5,22,33.5,Top,90,0.1uF,402,C1525
C6,10,33,Top,90,0.1uF,402,C1525
C7,35.5,35.25,Top,0,1uF,402,C52923
C8,7.25,29.5,Top,0,0.1uF,402,C1525
D1,19.5,5,Top,90,Red,LED_0603,C2286
D2,21,5,Top,270,Green,LED_0603,C72043
R1,20.25,2.75,Top,0,330R,402,C25104
R2,17,7.75,Top,0,51k,402,C25794
R3,22,38.5,Top,90,1k,402,C11702
R4,38.5,38,Top,90,10k,402,C25744
R5,33.5,38,Top,90,10k,402,C25744
R6,10,35.5,Top,90,10k,402,C25744
R7,22,7.75,Top,0,330R,402,C25104
U1,35.5,32,Top,270,DS3231,SOIC-8_3.9x4.9x1.27P,C107410
U2,16,33.75,Top,270,ATMEGA328P,TQFP-32_7.0x7.0x0.8P,C14877
U3,17.25,5,Top,270,MCP73831,SOT-23-5,C424093
U4,36,37.75,Top,0,BL1551,SOT-363,C82528
Y1,27.25,33,Top,0,8Mhz,SMD-5032_2P,C115962
