Designator,Mid X,Mid Y,Layer,Rotation
C100,18.5,33.0,Top,90
C200,26.0,33.0,Top,90
C300,12.25,2.25,Top,0
C400,14.5,7.75,Top,0
C500,17.0,33.5,Top,90
C600,5.0,33.0,Top,90
C700,30.5,35.25,Top,0
D100,14.5,5.0,Top,90
D200,16.0,5.0,Top,270
R100,15.25,2.75,Top,0
R200,12.0,7.75,Top,0
R300,17.0,38.5,Top,90
R400,33.5,38.0,Top,90
R500,28.5,38.0,Top,90
R600,5.0,35.5,Top,90
R700,17.0,7.75,Top,0
U100,30.5,32.0,Top,270
U200,11.0,33.75,Top,270
U300,12.25,5.0,Top,270
U400,31.0,37.75,Top,0
Y100,22.25,33.0,Top,0
C110,61.5,33.0,Top,90
C210,69.0,33.0,Top,90
C310,55.25,2.25,Top,0
C410,57.5,7.75,Top,0
C510,60.0,33.5,Top,90
C610,48.0,33.0,Top,90
C710,73.5,35.25,Top,0
D110,57.5,5.0,Top,90
D210,59.0,5.0,Top,270
R110,58.25,2.75,Top,0
R210,55.0,7.75,Top,0
R310,60.0,38.5,Top,90
R410,76.5,38.0,Top,90
R510,71.5,38.0,Top,90
R610,48.0,35.5,Top,90
R710,60.0,7.75,Top,0
U110,73.5,32.0,Top,270
U210,54.0,33.75,Top,270
U310,55.25,5.0,Top,270
U410,74.0,37.75,Top,0
Y110,65.25,33.0,Top,0
